>	15:25:00	51.322818	17.569278	196.30	9	20	24	0.00	20.00	39.10	3.63200	-2.48997	-9.86890
										3.58651	-2.52828	-9.72764
										3.36146	-2.28886	-9.17937
										3.45004	-2.45645	-9.88326
										3.44765	-2.62165	-9.29669
										3.57215	-2.38223	-9.66060
										3.52666	-2.67193	-9.96706
										3.70144	-2.37026	-9.80665
										3.59609	-2.44927	-9.90002
										3.61285	-2.18830	-9.74919
										3.42850	-2.18112	-9.60793
										3.41174	-1.97282	-9.50977
										3.39258	-2.00395	-9.59835
										3.28724	-1.94649	-9.40203
										3.34949	-2.01352	-9.75158
										3.44286	-2.17633	-9.93833
										3.62243	-2.15718	-10.14902
										3.81636	-2.34632	-10.17296
										3.76368	-2.40138	-9.93354
										3.71580	-2.35350	-10.06044
										3.62243	-2.37265	-9.47625
										3.57694	-1.95367	-9.08121
										3.43329	-2.06141	-9.67257
										3.07894	-1.91536	-8.88009
										3.18668	-1.57538	-8.19056
										3.35188	-1.75495	-9.90002
										4.02705	-2.65517	-10.52730
										3.82593	-2.64559	-9.72285
										3.70144	-2.58574	-10.21606
										3.56497	-2.86347	-9.26556
										3.51948	-2.37026	-8.94953
										3.41653	-2.26970	-9.36372
										3.45962	-2.31519	-9.74679
										3.42610	-2.21224	-9.18176
										3.65355	-2.29125	-9.78031
										3.89537	-2.64559	-9.83778
										3.89297	-2.62883	-9.82341
										3.54581	-2.94008	-9.58638
										3.76608	-2.46363	-9.79947
										3.71341	-2.59531	-9.46189
										3.73974	-2.47560	-9.93594
										3.55300	-2.68151	-9.44991
										3.81157	-2.37744	-9.90721
										3.85706	-2.60250	-9.96227
										3.81875	-2.22900	-9.65342
										3.64158	-2.20506	-9.83538
										3.74214	-2.30083	-9.81144
										3.88818	-2.46603	-10.06044
										3.81157	-2.50673	-10.23282
										3.86664	-2.55940	-9.83059
										3.95043	-2.65038	-10.56082
>	15:25:04	51.322323	17.568358	195.20	12	20	22	0.00	20.10	38.80	4.06535	-2.67432	-10.64701
										3.92888	-2.48758	-9.86411
										3.82354	-2.58574	-10.11071
										3.78284	-2.75333	-9.51695
										3.73495	-2.62165	-9.66779
										3.70862	-2.48518	-9.65582
										3.66552	-2.39181	-8.80827
										3.86185	-2.24816	-10.46984
										3.73735	-2.35829	-9.29669
										3.59130	-1.69031	-9.73004
										3.51469	-2.06859	-9.75877
										3.51229	-2.02549	-9.37809
										3.66552	-2.31280	-10.05804
										3.85945	-2.66953	-10.02452
										3.81396	-2.73418	-9.97903
										3.71341	-2.79882	-10.01495
