index;Time;Latitude;Longitute;Height;Pm1.0;Pm2.5;Pm10;HCHO;Temperature;RH;aX;aY;aZ
;2021-11-18 15:14:02.760000;;;;;;;;;;9.430760000000001;2.89938;1.0726
;2021-11-18 15:14:02.800000;;;;;;;;;;9.41879;2.90656;1.08697
;2021-11-18 15:14:02.840000;;;;;;;;;;9.41879;2.89459;1.0726
;2021-11-18 15:14:02.880000;;;;;;;;;;9.430760000000001;2.91135;1.05584
;2021-11-18 15:14:02.920000;;;;;;;;;;9.42837;2.90896;1.04627
;2021-11-18 15:14:02.960000;;;;;;;;;;9.43555;2.90656;1.04148
True;2021-11-18 15:14:03;51.113237;17.062281;133.2;5.0;8.0;8.0;0.0;23.6;33.2;9.423580000000001;2.90177;1.0726
;2021-11-18 15:14:03;;;;;;;;;;18.85194;5.81312;2.13563
;2021-11-18 15:14:03.040000;;;;;;;;;;9.43555;2.90656;1.0726
;2021-11-18 15:14:03.080000;;;;;;;;;;9.43555;2.90896;1.06303
;2021-11-18 15:14:03.120000;;;;;;;;;;9.430760000000001;2.90177;1.06063
;2021-11-18 15:14:03.160000;;;;;;;;;;9.43555;2.90417;1.06063
;2021-11-18 15:14:03.200000;;;;;;;;;;9.42837;2.91135;1.05105
;2021-11-18 15:14:03.240000;;;;;;;;;;9.423580000000001;2.91614;1.05584
;2021-11-18 15:14:03.280000;;;;;;;;;;9.43794;2.91135;1.05345
;2021-11-18 15:14:03.320000;;;;;;;;;;9.43316;2.89698;1.05105
;2021-11-18 15:14:03.360000;;;;;;;;;;9.430760000000001;2.91135;1.06542
;2021-11-18 15:14:03.400000;;;;;;;;;;9.42118;2.90656;1.07021
;2021-11-18 15:14:03.440000;;;;;;;;;;9.43555;2.90656;1.06781
;2021-11-18 15:14:03.480000;;;;;;;;;;9.43555;2.90896;1.07021
;2021-11-18 15:14:03.520000;;;;;;;;;;9.423580000000001;2.90177;1.07739
;2021-11-18 15:14:03.560000;;;;;;;;;;9.43555;2.92093;1.06303
;2021-11-18 15:14:03.600000;;;;;;;;;;9.440339999999999;2.91374;1.04387
;2021-11-18 15:14:03.640000;;;;;;;;;;9.430760000000001;2.91374;1.06303
;2021-11-18 15:14:03.680000;;;;;;;;;;9.42837;2.90896;1.075
;2021-11-18 15:14:03.720000;;;;;;;;;;9.42118;2.91135;1.09176
;2021-11-18 15:14:03.760000;;;;;;;;;;9.41879;2.90656;1.07978
;2021-11-18 15:14:03.800000;;;;;;;;;;9.42118;2.90896;1.08457
;2021-11-18 15:14:03.840000;;;;;;;;;;9.430760000000001;2.90417;1.06063
;2021-11-18 15:14:03.880000;;;;;;;;;;9.430760000000001;2.90656;1.04387
;2021-11-18 15:14:03.920000;;;;;;;;;;9.423580000000001;2.91374;1.0343
;2021-11-18 15:14:03.960000;;;;;;;;;;9.42597;2.91614;1.04866
True;2021-11-18 15:14:04;51.113237;17.062281;133.2;5.0;8.0;8.0;0.0;23.6;33.2;9.42597;2.91614;1.06781
;2021-11-18 15:14:04;;;;;;;;;;9.423580000000001;2.91614;1.05824
;2021-11-18 15:14:04.040000;;;;;;;;;;9.43794;2.91614;1.04627
;2021-11-18 15:14:04.080000;;;;;;;;;;9.442730000000001;2.91374;1.06063
;2021-11-18 15:14:04.120000;;;;;;;;;;9.42837;2.90417;1.06063
;2021-11-18 15:14:04.160000;;;;;;;;;;9.42118;2.90177;1.06063
;2021-11-18 15:14:04.200000;;;;;;;;;;9.4164;2.90656;1.0726
;2021-11-18 15:14:04.240000;;;;;;;;;;9.423580000000001;2.91853;1.0726
;2021-11-18 15:14:04.280000;;;;;;;;;;9.42597;2.91614;1.06303
