level_0;index;Time;Latitude;Longitude;Height;Pm1.0;Pm2.5;Pm10;HCHO;Temperature;RH;aX;aY;aZ
0;True;2021-11-22 19:58:26;51.113002;17.062453;170.1;20.0;23.27232984093747;35.31660223860603;0.0;22.5;33.5;-0.038310000000000004;-0.15802;9.29429
1;;2021-11-22 19:58:26;;;;;;;;;;-0.0431;-0.15802;9.32063
2;;2021-11-22 19:58:26.040000;;;;;;;;;;-0.03352;-0.16759000000000002;9.31344
3;;2021-11-22 19:58:26.080000;;;;;;;;;;-0.02394;-0.16759000000000002;9.30147
4;;2021-11-22 19:58:26.120000;;;;;;;;;;-0.01915;-0.16759000000000002;9.30866
5;;2021-11-22 19:58:26.160000;;;;;;;;;;-0.01197;-0.16041;9.31344
6;;2021-11-22 19:58:26.200000;;;;;;;;;;-0.00958;-0.16759000000000002;9.29429
7;;2021-11-22 19:58:26.240000;;;;;;;;;;-0.01915;-0.17478;9.27753
8;;2021-11-22 19:58:26.280000;;;;;;;;;;-0.02155;-0.17957;9.29429
9;;2021-11-22 19:58:26.320000;;;;;;;;;;-0.02394;-0.17238;9.29429
10;;2021-11-22 19:58:26.360000;;;;;;;;;;-0.02394;-0.17478;9.28711
11;;2021-11-22 19:58:26.400000;;;;;;;;;;-0.03352;-0.16999;9.29429
12;;2021-11-22 19:58:26.440000;;;;;;;;;;-0.038310000000000004;-0.16280999999999998;9.29908
13;;2021-11-22 19:58:26.480000;;;;;;;;;;-0.038310000000000004;-0.16759000000000002;9.29908
14;;2021-11-22 19:58:26.520000;;;;;;;;;;-0.035910000000000004;-0.1652;9.27993
15;;2021-11-22 19:58:26.560000;;;;;;;;;;-0.03112;-0.16280999999999998;9.29908
16;;2021-11-22 19:58:26.600000;;;;;;;;;;-0.02634;-0.16280999999999998;9.31344
17;;2021-11-22 19:58:26.640000;;;;;;;;;;-0.01676;-0.15802;9.2919
18;;2021-11-22 19:58:26.680000;;;;;;;;;;-0.014369999999999999;-0.16041;9.27035
19;;2021-11-22 19:58:26.720000;;;;;;;;;;-0.01197;-0.16999;9.2895
20;;2021-11-22 19:58:26.760000;;;;;;;;;;-0.01676;-0.17238;9.2919
21;;2021-11-22 19:58:26.800000;;;;;;;;;;-0.035910000000000004;-0.16041;9.28471
22;;2021-11-22 19:58:26.840000;;;;;;;;;;-0.035910000000000004;-0.16759000000000002;9.272739999999999
23;;2021-11-22 19:58:26.880000;;;;;;;;;;-0.03352;-0.16041;9.28232
24;;2021-11-22 19:58:26.920000;;;;;;;;;;-0.028730000000000002;-0.15802;9.30626
25;;2021-11-22 19:58:26.960000;;;;;;;;;;-0.02634;-0.15562;9.29669
